ticker,name,year,month,day,future_3,future_7,future_15,future_30,text_file_name,past_3,past_7,past_15,past_30
MRK,Merck & Co.,2017,2,2,-4.727375907,-4.974285446,-5.028562464,-5.032770731,Merck & Co._20170202,-5.143366529,-5.040382734,-4.262277154,-4.340922532
EA,Electronic Arts,2017,10,31,-3.940720914,-3.977044647,-4.217468692,-4.012513385,Electronic Arts_20171031,-6.147670881,-5.353377657,-4.531123366,-4.434178638
MOS,The Mosaic Company,2017,10,31,-4.693258914,-4.981459858,-4.314625683,-4.184615195,The Mosaic Company_20171031,-5.21138457,-4.1202213,-4.09280465,-4.238447299
SYY,Sysco Corp.,2017,5,8,-5.070524653,-4.768216326,-4.946131295,-4.861622349,Sysco Corp._20170508,-4.356109428,-4.381058338,-4.650058645,-4.81429139
CAG,Conagra Brands,2017,12,21,-5.494182809,-5.293809583,-4.876264872,-4.572105032,Conagra Brands_20171221,-6.09818074,-4.721748174,-4.716797167,-4.464176352
chd,Church & Dwight,2017,11,2,-4.031709003,-4.000476075,-4.164577528,-4.268026802,Church & Dwight_20171102,-4.285096956,-4.486283278,-4.599378145,-4.632023492
EL,Estee Lauder Cos.,2017,11,1,-4.424007332,-4.681009979,-4.772557841,-4.819105875,Estee Lauder Cos._20171101,-4.923787916,-5.077657669,-4.986378029,-4.824837932
HPE,Hewlett Packard Enterprise,2017,5,31,-3.58958818,-3.785432839,-4.049100943,-4.112289856,Hewlett Packard Enterprise_20170531,-6.224595913,-4.875189698,-4.820738202,-4.9464187
GS,Goldman Sachs Group,2017,1,18,-4.947791835,-4.668439484,-4.199451567,-4.384996645,Goldman Sachs Group_20170118,-4.158530499,-4.166812055,-4.442589031,-4.335683381
SRCL,Stericycle Inc,2017,8,3,-3.796551611,-3.777646724,-3.941645161,-4.106774389,Stericycle Inc_20170803,-4.447822398,-4.536534582,-4.645188025,-4.548722797
ABBV,AbbVie Inc.,2017,4,27,-5.480784086,-5.062879209,-4.74800158,-4.892330608,AbbVie Inc._20170427,-5.157048096,-4.960033097,-5.12739676,-5.157194418
JPM,JPMorgan Chase & Co.,2017,10,12,-4.547611056,-4.789015067,-4.877159251,-4.833525521,JPMorgan Chase & Co._20171012,-5.195225386,-4.881591666,-4.860689585,-4.665760035
MOS,The Mosaic Company,2017,8,1,-4.073064854,-4.185990394,-4.220272828,-4.143463805,The Mosaic Company_20170801,-5.075984678,-4.420430009,-4.480998537,-3.934038006
ROK,Rockwell Automation Inc.,2017,4,26,-5.677605442,-5.00431881,-4.707879413,-4.634945784,Rockwell Automation Inc._20170426,-4.540244406,-4.381687165,-4.176734874,-4.356726315
CCI,Crown Castle International Corp.,2017,7,19,-4.283086622,-4.68725743,-4.735739832,-4.963098464,Crown Castle International Corp._20170719,-3.825706524,-4.039169778,-4.238398359,-4.487865716
CBOE,Cboe Global Markets,2017,8,4,-6.106194574,-5.056154886,-4.751069256,-4.888246781,Cboe Global Markets_20170804,-5.349677974,-5.075803532,-5.102037094,-5.094202009
AKAM,Akamai Technologies Inc,2017,2,7,-2.962798264,-3.268676765,-3.574041082,-3.837762923,Akamai Technologies Inc_20170207,-5.585455327,-5.380724616,-4.773152556,-4.802222553
kmx,Carmax Inc,2017,12,21,-4.905656279,-4.20263047,-4.086380461,-3.997035153,Carmax Inc_20171221,-4.649309817,-4.551517212,-4.080837974,-4.28427844
WEC,Wec Energy Group Inc,2017,2,1,-5.700706225,-5.335990602,-5.050277187,-4.807522021,Wec Energy Group Inc_20170201,-4.949236063,-5.160164074,-5.050655248,-4.928385269
CMCSA,Comcast Corp.,2017,1,26,-5.150398732,-5.164890942,-5.170350252,-5.139849131,Comcast Corp._20170126,-5.576449782,-5.123489596,-4.967886931,-4.948934024
SEE,Sealed Air,2017,11,8,-4.631718071,-4.821919694,-4.627199338,-4.617194381,Sealed Air_20171108,-5.176167593,-5.201779195,-4.808824244,-4.779736595
CTSH,Cognizant Technology Solutions,2017,11,1,-5.27366053,-5.164116335,-4.501900618,-4.638386705,Cognizant Technology Solutions_20171101,-5.460676344,-5.222253094,-5.312455831,-5.366705804
ORCL,Oracle Corp.,2017,12,14,-4.103398021,-4.293629557,-4.308059783,-4.415145455,Oracle Corp._20171214,-4.561393929,-4.512751799,-4.464803642,-4.598721382
CAT,Caterpillar Inc.,2017,7,25,-5.000069199,-5.218456022,-5.206058223,-4.953076137,Caterpillar Inc._20170725,-4.62294829,-4.843267104,-4.972768046,-4.557133266
SWKS,Skyworks Solutions,2017,7,20,-4.789500505,-4.826578002,-4.368800557,-4.249170358,Skyworks Solutions_20170720,-4.718345523,-5.031142548,-4.506770955,-4.070518721
ffiv,F5 Networks,2017,1,25,-3.183470524,-3.448678397,-3.759520016,-4.034325471,F5 Networks_20170125,-4.384944441,-4.583135286,-4.876318895,-4.86716038
HRL,Hormel Foods Corp.,2017,2,23,-4.243494574,-4.572818377,-4.543891508,-4.71073961,Hormel Foods Corp._20170223,-4.964357858,-4.708041765,-4.647848825,-4.659460817
GIS,General Mills,2017,6,28,-4.276997742,-4.681224731,-4.756165143,-4.820095915,General Mills_20170628,-5.03221051,-5.267121272,-4.591524733,-4.753140538
DIS,The Walt Disney Company,2017,11,9,-4.230635465,-4.593871688,-4.773492361,-4.246821478,The Walt Disney Company_20171109,-4.601758527,-4.687658273,-4.849177535,-4.830613657
MLM,Martin Marietta Materials,2017,11,2,-4.555841806,-4.732516175,-4.521969337,-4.087159724,Martin Marietta Materials_20171102,-5.649243152,-4.368660741,-4.213492909,-4.282776795
PPL,PPL Corp.,2017,8,3,-5.49148431,-5.321409368,-5.228968505,-5.039694824,PPL Corp._20170803,-6.151067824,-5.102476819,-5.052999743,-5.065364615
PNW,Pinnacle West Capital,2017,5,2,-5.604947489,-5.474877236,-5.325847439,-5.239352284,Pinnacle West Capital_20170502,-4.779459203,-4.923757809,-5.080117155,-5.147464989
C,Citigroup Inc.,2017,10,12,-5.351929421,-5.047832006,-5.076494484,-5.078389381,Citigroup Inc._20171012,-8.407586528,-4.755247523,-4.759440555,-4.562508424
NEM,Newmont Mining Corporation,2017,7,25,-4.175353685,-4.442556874,-4.542800984,-4.467376146,Newmont Mining Corporation_20170725,-4.466112233,-4.692723192,-4.430353029,-4.395815085
tdg,TransDigm Group,2017,2,7,-5.285417863,-4.910836435,-4.702756004,-4.026222365,TransDigm Group_20170207,-5.007890282,-4.428086084,-3.594381237,-3.903207243
DUK,Duke Energy,2017,11,3,-4.570755285,-4.668207788,-4.885200049,-4.966081295,Duke Energy_20171103,-5.231150231,-5.328973769,-5.333678409,-5.12189842
MDLZ,Mondelez International,2017,8,2,-4.482764739,-4.752946469,-4.739441671,-4.570794397,Mondelez International_20170802,-5.332015163,-5.04567504,-5.12434757,-4.935455407
MO,Altria Group Inc,2017,10,26,-4.889248985,-4.839664192,-4.720191866,-4.625843627,Altria Group Inc_20171026,-6.868869877,-5.146630569,-4.567186074,-4.5945519
nrg,NRG Energy,2017,2,28,-5.840125482,-4.162360502,-4.028971753,-4.122504402,NRG Energy_20170228,-3.581743127,-3.902885471,-3.890889369,-3.930467098
tIf,Tiffany & Co.,2017,5,24,-5.29842155,-4.801397302,-4.521013401,-4.509051643,Tiffany & Co._20170524,-4.952641678,-4.740095574,-4.642899411,-4.777088927
ADP,Automatic Data Processing,2017,5,3,-4.039801212,-4.405813889,-4.60562062,-4.663335479,Automatic Data Processing_20170503,-5.838822471,-4.995041299,-5.145010557,-5.126691129
PWR,Quanta Services Inc.,2017,5,4,-5.048395209,-4.374539331,-4.395791025,-4.310653203,Quanta Services Inc._20170504,-4.898933548,-4.704300668,-4.311915338,-4.398772348
CRM,Salesforce.com,2017,2,28,-3.961326758,-4.363934353,-4.59563249,-4.683218092,Salesforce.com_20170228,-6.51074452,-5.07920262,-5.161073264,-4.932086368
SYK,Stryker Corp.,2017,10,26,-3.147882299,-3.538867353,-3.872935316,-4.136876206,Stryker Corp._20171026,-5.827687014,-5.34331843,-4.763164906,-4.774665237
ADSK,Autodesk Inc.,2017,3,2,-4.917415811,-4.005281731,-4.014671078,-4.257380048,Autodesk Inc._20170302,-3.948776158,-4.285228038,-4.394925043,-4.414390657
RF,Regions Financial Corp.,2017,7,21,-4.710234519,-4.969630099,-4.543939663,-4.494648088,Regions Financial Corp._20170721,-5.841953549,-4.813599436,-4.332127919,-4.243451603
CTXS,Citrix Systems,2017,8,2,-4.375983302,-4.447467137,-4.287007504,-4.414330976,Citrix Systems_20170802,-4.962426575,-4.730052778,-4.525430149,-4.557048409
AMT,American Tower Corp A,2017,4,27,-5.323944292,-5.052285322,-4.607138641,-4.816695633,American Tower Corp A_20170427,-5.515275456,-5.476551672,-5.160540451,-5.213484272
peg,Public Serv. Enterprise Inc.,2017,4,28,-5.334152325,-4.973040649,-4.986272166,-4.95192822,Public Serv. Enterprise Inc._20170428,-6.274666376,-4.845787866,-4.846272285,-4.815522638
WMT,Walmart,2017,11,16,-4.725910121,-4.822477527,-4.966718764,-5.024059203,Walmart_20171116,-4.967212015,-4.835540016,-4.78296415,-4.475188985
ew,Edwards Lifesciences,2017,2,1,-3.201398838,-3.489413905,-3.654974689,-3.874758925,Edwards Lifesciences_20170201,-4.300635673,-4.400072077,-4.578756086,-4.669612342
PPL,PPL Corp.,2017,5,4,-5.206707745,-5.448216003,-5.297795065,-5.348020706,PPL Corp._20170504,-6.184418411,-5.678623123,-5.240511579,-5.328077974
BLL,Ball Corp,2017,11,2,-5.64081171,-5.094895963,-4.515914521,-4.368593005,Ball Corp_20171102,-5.245534374,-5.129485911,-5.066788087,-5.188981003
NTAP,NetApp,2017,11,15,-2.667619222,-2.92569528,-3.22469531,-3.500114899,NetApp_20171115,-5.496501275,-4.4128533,-4.310573633,-4.543591565
MMC,Marsh & McLennan,2017,10,26,-5.530805435,-4.52073168,-4.817186617,-4.815721652,Marsh & McLennan_20171026,-6.315298871,-5.550837382,-5.708597207,-5.280918189
HSIC,Henry Schein,2017,2,21,-5.122736684,-5.100841547,-5.288714779,-5.376943676,Henry Schein_20170221,-5.318423289,-5.417618108,-5.197726024,-4.913508381
ROP,Roper Technologies,2017,2,9,-5.200632404,-5.450661605,-5.205091039,-5.050026107,Roper Technologies_20170209,-6.084936518,-5.626128695,-5.253576818,-4.950462581
WM,Waste Management Inc.,2017,10,26,-4.933161134,-4.836384777,-5.0071918,-4.948903407,Waste Management Inc._20171026,-5.638283801,-5.672926003,-5.569679205,-4.871054114
PCAR,PACCAR Inc.,2017,7,25,-5.947040328,-4.787704721,-4.516621608,-4.557188354,PACCAR Inc._20170725,-6.260019695,-5.601536211,-5.03493478,-4.494089926
RSG,Republic Services Inc,2017,7,27,-4.668833381,-5.006505584,-5.147643621,-5.111672128,Republic Services Inc_20170727,-5.174254912,-5.525944951,-5.510328778,-5.2973318
MO,Altria Group Inc,2017,7,27,-3.156126547,-3.368366575,-3.686034061,-3.98111096,Altria Group Inc_20170727,-6.145962524,-5.425757353,-5.324198286,-4.96421529
T,AT&T Inc.,2017,10,24,-3.820097295,-4.18555746,-4.302962132,-4.266714834,AT&T Inc._20171024,-5.775205087,-4.830903524,-4.109804208,-4.227999909
AET,Aetna Inc,2017,1,31,-4.204477151,-4.332806149,-4.141610438,-4.395943741,Aetna Inc_20170131,-5.404452723,-4.450404337,-4.633852519,-4.629604441
BIIB,Biogen Inc.,2017,1,26,-5.31619412,-3.754027616,-3.91437991,-4.140998118,Biogen Inc._20170126,-5.129559604,-5.069840099,-4.47758476,-4.345745373
BMY,Bristol-Myers Squibb,2017,4,27,-5.152434755,-4.939823731,-5.008834615,-4.436497293,Bristol-Myers Squibb_20170427,-5.455022632,-5.703775347,-5.328762673,-4.859313707
ADS,Alliance Data Systems,2017,10,19,-4.349783726,-4.054896251,-4.261788757,-4.255784033,Alliance Data Systems_20171019,-4.958472282,-3.871713978,-4.229562717,-4.250771808
SWKS,Skyworks Solutions,2017,11,6,-3.675761028,-3.961594777,-4.139032252,-4.227492683,Skyworks Solutions_20171106,-4.205906859,-4.066716989,-4.051974181,-4.196212468
GLW,Corning Inc.,2017,1,24,-4.621118667,-4.686735707,-4.702711813,-4.750780671,Corning Inc._20170124,-4.721353082,-4.269389178,-4.565411433,-4.646895403
XL,XL Group,2017,10,24,-4.844770508,-4.474508481,-4.444824463,-4.476456437,XL Group_20171024,-4.230097589,-4.272688713,-4.261526183,-4.224912241
KR,Kroger Co.,2017,6,15,-3.080728404,-3.379122172,-3.66458403,-3.908475191,Kroger Co._20170615,-4.256031485,-4.251360901,-4.523950977,-4.301802156
MLM,Martin Marietta Materials,2017,5,2,-5.443149322,-5.247140486,-4.295805829,-4.333485825,Martin Marietta Materials_20170502,-4.429732474,-4.509815998,-4.230492762,-4.185388131
YUM,Yum! Brands Inc,2017,8,3,-5.203679428,-5.00404141,-5.057351055,-4.856861998,Yum! Brands Inc_20170803,-5.176607485,-4.869492985,-5.052376708,-5.064408282
ABMD,ABIOMED Inc,2017,5,4,-4.2803581,-4.364968825,-4.348953294,-4.440268008,ABIOMED Inc_20170504,-3.732885607,-4.125214163,-4.057420623,-4.343380671
RHI.F,Red Hat Inc.,2017,9,25,-4.066466138,-4.369576417,-4.432430388,-4.210558614,Red Hat Inc._20170925,-5.946776464,-4.672896249,-4.826983723,-4.63405314
MAS,Masco Corp.,2017,10,24,-4.087010391,-4.323893868,-4.537604014,-4.365116088,Masco Corp._20171024,-4.541130376,-4.573431015,-4.738918403,-4.826324658
JWN,Nordstrom,2017,11,9,-3.979748787,-4.053169857,-3.806180038,-3.900345051,Nordstrom_20171109,-4.019535778,-4.213628207,-4.227999546,-3.969404418
CPB,Campbell Soup,2017,11,21,-4.133875977,-4.050354006,-4.071605145,-4.222965732,Campbell Soup_20171121,-4.180822879,-3.756445632,-3.790616415,-3.943069722
MLM,Martin Marietta Materials,2017,2,14,-4.847005818,-4.005414408,-3.985567776,-4.07068472,Martin Marietta Materials_20170214,-4.515760018,-4.473582499,-4.115004594,-4.240635728
FIS,Fidelity National Information Services,2017,8,2,-5.347832565,-5.573746449,-4.771598896,-4.970155551,Fidelity National Information Services_20170802,-5.521150279,-5.298279824,-5.487019187,-5.202263361
INTU,Intuit Inc.,2017,5,23,-3.491633376,-3.831388032,-4.030524659,-4.22549548,Intuit Inc._20170523,-4.993513577,-4.700182553,-5.043490484,-4.080151198
PYPL,PayPal,2017,7,26,-4.055459609,-4.296657668,-4.307286475,-4.438137991,PayPal_20170726,-6.058321251,-4.466137135,-4.107060405,-4.150902673
PNW,Pinnacle West Capital,2017,11,3,-5.331134779,-4.506673819,-4.703304201,-4.684006692,Pinnacle West Capital_20171103,-5.70223178,-5.279259153,-5.211257313,-4.97064306
CMA,Comerica Inc.,2017,1,17,-4.188783486,-4.394531498,-4.364996176,-4.239643124,Comerica Inc._20170117,-4.874396942,-4.889356209,-4.826991221,-4.54352184
BMY,Bristol-Myers Squibb,2017,7,27,-3.991258392,-4.195034903,-4.346774999,-4.310852522,Bristol-Myers Squibb_20170727,-5.773552936,-5.749289645,-4.842627515,-4.710935024
aes,AES Corp,2017,5,8,-4.430995158,-4.584439092,-4.410441509,-4.393906631,AES Corp_20170508,-4.255830499,-4.664970148,-4.690980258,-4.687717291
KMB,Kimberly-Clark,2017,1,24,-5.256143062,-5.419816924,-5.40305642,-4.615004842,Kimberly-Clark_20170124,-5.405840256,-5.321259481,-5.030185461,-5.021548808
SWKS,Skyworks Solutions,2017,1,19,-2.957813399,-3.123178573,-3.411767793,-3.651808947,Skyworks Solutions_20170119,-3.851858827,-3.975387581,-4.119095629,-4.087818439
SBUX,Starbucks Corp.,2017,1,26,-4.170212184,-3.936378429,-4.222289948,-4.47680623,Starbucks Corp._20170126,-5.463222858,-5.02088351,-4.887426634,-4.825411785
BWA,BorgWarner,2017,7,27,-4.854902653,-4.549052713,-4.35320499,-4.371109985,BorgWarner_20170727,-4.349904934,-4.141324182,-4.265510008,-4.086223115
GRMN,Garmin Ltd.,2017,11,1,-4.487303361,-4.562169924,-4.602419264,-4.587272147,Garmin Ltd._20171101,-5.843038557,-5.466659985,-5.525427471,-5.163011898
UTX,United Technologies,2017,7,25,-5.493340141,-5.01822744,-4.79387573,-4.203694194,United Technologies_20170725,-5.121765143,-5.378755665,-5.371277906,-5.335417464
HBI,Hanesbrands Inc,2017,11,1,-3.33532958,-3.380646013,-3.625255508,-3.829719972,Hanesbrands Inc_20171101,-4.817784844,-4.402234738,-4.541025159,-4.260175313
K,Kellogg Co.,2017,5,4,-3.815274139,-4.222497,-4.470085584,-4.614282405,Kellogg Co._20170504,-5.084974129,-5.190520475,-4.978691988,-5.098090881
MGM,MGM Resorts International,2017,7,27,-5.469807564,-4.834145707,-4.336130038,-4.310559163,MGM Resorts International_20170727,-4.811932135,-4.38408118,-4.409301614,-4.134522894
GPS,Gap Inc.,2017,5,18,-3.960649181,-4.105916863,-4.229576761,-4.274548813,Gap Inc._20170518,-4.02191919,-3.926990291,-4.012738875,-3.90319496
HSY,The Hershey Company,2017,4,26,-4.898356186,-5.199246227,-5.072612622,-4.941255791,The Hershey Company_20170426,-4.683739086,-4.896005951,-4.980415971,-5.15933853
shw,Sherwin-Williams,2017,7,20,-6.106755798,-4.969267436,-4.990591002,-4.59283435,Sherwin-Williams_20170720,-5.331076073,-5.485317966,-4.835618581,-4.705625815
