ticker,name,year,month,day,text_file_name,future_2,future_3,future_4,future_5,future_6,future_7,future_8,future_9,future_10,future_11,future_12,future_13,future_14,future_15,future_16,future_17,future_18,future_19,future_20,future_21,future_22,future_23,future_24,future_25,future_26,future_27,future_28,future_29,future_30,past_2,past_3,past_4,past_5,past_6,past_7,past_8,past_9,past_10,past_11,past_12,past_13,past_14,past_15,past_16,past_17,past_18,past_19,past_20,past_21,past_22,past_23,past_24,past_25,past_26,past_27,past_28,past_29,past_30
GLW,Corning Inc.,2017,1,24,Corning Inc._20170124,-4.4240547172326785,-4.621118666995579,-4.697203507435231,-4.691145107700887,-4.638625016809006,-4.68673570663,-4.655398280011374,-4.707258110190499,-4.732649636888183,-4.7614034972418375,-4.74022009059594,-4.76401077736595,-4.800975465877531,-4.702711812674198,-4.733865392459748,-4.727547629511488,-4.745313001449184,-4.77233483201549,-4.795429299859948,-4.789823588498159,-4.784984756819114,-4.796859849299041,-4.813016701721057,-4.735593223662492,-4.7047084352828135,-4.721957090884551,-4.724764017323838,-4.741168081258321,-4.750780670899053,-4.830932116308016,-4.721353082002339,-4.667133638741811,-4.175669275299367,-4.209790900063471,-4.26938917766666,-4.322132364126522,-4.380872303290115,-4.42971684058457,-4.459444771757758,-4.483863210492719,-4.51493461619229,-4.551961926489856,-4.565411433252894,-4.59714871499423,-4.518481690783112,-4.535078345380538,-4.561983269343624,-4.5851101035459605,-4.587883559214574,-4.593506872615398,-4.615148635643051,-4.6358897048684575,-4.650890287999731,-4.663812938251716,-4.6770253407511575,-4.67300282227905,-4.657226347099623,-4.6468954026560585
TXN,Texas Instruments,2017,1,24,Texas Instruments_20170124,-5.220730643930624,-4.435609229303462,-4.526144029489384,-4.0812790030434885,-4.1301579657020815,-4.201896807890292,-4.2453776914134576,-4.300755081231947,-4.3534338437514615,-4.3992904601176415,-4.425995888178137,-4.465946681309819,-4.4927952644578255,-4.5255852678273305,-4.557488152926774,-4.569422795448584,-4.596117023924957,-4.60510257527544,-4.630138989127053,-4.653871735449097,-4.676923385224332,-4.6988605354876585,-4.705220695313535,-4.637079128178481,-4.656063686120081,-4.672280102495111,-4.6851215582803185,-4.684700860791081,-4.701140281018443,-7.312351926745229,-4.704890658841421,-4.768903016412222,-4.736365906343567,-4.827525912876158,-4.85779035936003,-4.876097203817478,-4.932587932531753,-4.985050090349662,-4.85670775342489,-4.82009362312917,-4.85182224726443,-4.86749560907963,-4.737452288850948,-4.7697179236616645,-4.740906082630771,-4.757050708568978,-4.7833968789060455,-4.808866038513383,-4.833095116816913,-4.846453415506775,-4.846726866189768,-4.839510539848807,-4.817311931610523,-4.8004805067704925,-4.727867848123885,-4.738786270851806,-4.753108277415244,-4.768443102068988
WRK,WestRock,2017,1,24,WestRock_20170124,-3.6765168274456763,-3.836439753102136,-3.979041347689233,-4.079499745258263,-4.1706169976479766,-4.2130357160540015,-4.230955409710258,-4.287255651077538,-4.3306897173062655,-4.353197948460963,-4.184942170666459,-4.22043138709362,-4.251993881553831,-4.242440793038456,-4.268533347693067,-4.2884147798035155,-4.188141657563366,-4.1574668571042235,-4.168166577164437,-4.191589823459069,-4.214510687166657,-4.233523882103625,-4.254791028754863,-4.25196783428269,-4.261947591279035,-4.280787335765767,-4.1951810718092135,-4.173222976832733,-4.183805446515672,-10.416398191995109,-4.40532723524134,-4.526540821695049,-4.270302037864697,-4.361359707542329,-4.415667938601199,-4.473187189386928,-4.521803046553573,-4.550551438134372,-4.592797375079575,-4.632755596313824,-4.6072069914614975,-4.631724034919491,-4.546524849853182,-4.578730518102678,-4.541048827201481,-4.560105315968284,-4.579687855717019,-4.542464829526548,-4.5636720987274675,-4.5855393677259375,-4.592673212888501,-4.605537919412606,-4.573573852651352,-4.587751743758648,-4.6065619552215304,-4.502204861813302,-4.514967861436826,-4.531615316944807
STX,Seagate Technology,2017,1,24,Seagate Technology_20170124,-2.8925928737048228,-2.8792510105174878,-2.9269308972018266,-2.9799222741152995,-3.002944247856236,-3.0680052392681385,-3.133743498638246,-3.133939436387956,-3.184891055165311,-3.21169084233929,-3.2540117875780115,-3.2868619853546166,-3.320573060731056,-3.3476061157528263,-3.376940331346948,-3.387269369086092,-3.4023130757984013,-3.4281025104671605,-3.4486433748655645,-3.4699669020643644,-3.4928250073723626,-3.511213183454957,-3.5324870021377017,-3.5470892984350817,-3.554673534462709,-3.5713273496060545,-3.5809572789271007,-3.5939165574789143,-3.607334080753617,-5.757254332840753,-4.4334698368678405,-4.433284767452035,-4.505499845267829,-4.5650868736135966,-4.6405221845741815,-4.521837508571912,-4.559137078852235,-4.593014719158567,-4.607861082029749,-4.642569026093454,-4.664796195751568,-4.225249739276662,-4.251542470897647,-4.2411716807969,-4.254385818961103,-4.265167661662544,-4.287044219837719,-4.307253540538785,-4.324985870505092,-4.345928546625303,-4.357811483685844,-4.2463826579051585,-4.2486819472783175,-4.25395067454311,-4.1066159389238415,-4.124072078564408,-4.139290681551983,-4.12007322676772
VZ,Verizon Communications,2017,1,24,Verizon Communications_20170124,-5.796410824745853,-4.64028926778521,-4.782160452978635,-4.875943811179059,-4.878839105860262,-4.940718866807804,-4.867008883011499,-4.87628041319099,-4.90872279448002,-4.8633459924057085,-4.811119266871148,-4.8329135312180265,-4.842787044087651,-4.870655754673701,-4.901791367942256,-4.876917738979926,-4.783264278683267,-4.797453901911144,-4.811912176840892,-4.776341272816069,-4.789843812447511,-4.757717374188218,-4.7686293071357735,-4.7846219263766745,-4.800625156195734,-4.818081084133347,-4.835865915509098,-4.8169488032240055,-4.826996808751692,-5.054919079254856,-5.2471694126466035,-5.053941871345828,-5.104034262048147,-5.186648959343693,-5.208928825314502,-5.21481567410768,-5.26355528697415,-5.148576824386787,-5.002441904973339,-5.023437957575777,-5.062007231688645,-4.73001084588522,-4.748391465538905,-4.763178601551829,-4.789343685214959,-4.817922241144808,-4.8443107702601935,-4.801586760547666,-4.8231114993134785,-4.840579397708724,-4.813801090750001,-4.8139220489294985,-4.832392278354916,-4.788112637647451,-4.775055737741674,-4.78851176096556,-4.797198643098276,-4.805068765999022
FITB,Fifth Third Bancorp,2017,1,24,Fifth Third Bancorp_20170124,-6.160589282902559,-4.535265730439441,-4.4095939316353165,-4.49532634616244,-4.5340637839619085,-4.561039254595526,-4.343182565120368,-4.374157107097726,-4.3911570828329305,-4.309561530021979,-4.3187527997676005,-4.311621804553205,-4.333373625547252,-4.219872045572028,-4.251511904783866,-4.281714989719462,-4.3074317229711285,-4.334339228333005,-4.357034172214459,-4.380263197315707,-4.3963254020399205,-4.409782738855752,-4.425415992467701,-4.210694459372128,-4.115928161655945,-4.1345582066868465,-4.141815215540784,-4.15549628830693,-4.172364043641212,-6.3325513568503835,-4.529252361903288,-4.5875754767737815,-3.806237550734162,-3.835748172396649,-3.9099615614179535,-3.9746302955013837,-4.0033291874302055,-4.0544949658638565,-4.087654888568483,-4.026062247720211,-4.034770432109645,-4.06963386407584,-4.092646514952183,-4.085962671671676,-4.102896142220072,-4.1287496733049,-4.154015238204344,-4.1796060061155025,-4.203680607478282,-4.177995370220144,-4.1743821673672565,-4.177350906868825,-4.186582387918564,-4.2033025613202835,-4.216416212469379,-4.22038079363357,-4.237157542855914,-4.232743784723444
DHI,D. R. Horton,2017,1,24,D. R. Horton_20170124,-4.4037591642472105,-4.177953645064952,-4.2632767007153305,-4.103506548776564,-4.194637208358704,-4.232711477989678,-4.296189095242797,-4.321318757328231,-4.373436583163167,-4.321627853310655,-4.344017556923015,-4.264734693826706,-4.268561787289902,-4.286295814365444,-4.2416834507936265,-4.254210491356969,-4.282195198467873,-4.28491927311837,-4.309729647439528,-4.333833269176355,-4.336985538825519,-4.315071141449205,-4.3352296167803175,-4.3240968652041065,-4.340443039761383,-4.35913890169676,-4.372374337516416,-4.3761225219633975,-4.380252166004038,-6.1015746179461345,-4.2456425417911134,-4.372335042004767,-4.483407606891143,-4.5308313036190615,-4.604231399515951,-4.537778448383127,-4.588408832499411,-4.640751300735662,-4.511778209522832,-4.552289654079369,-4.439107117655954,-4.469499775578142,-4.4745240506003245,-4.498669024327688,-4.484260453570214,-4.483943075384598,-4.492298997667474,-4.470791365863941,-4.494631278504693,-4.517826072596939,-4.539374763548478,-4.55736839063872,-4.496586327162974,-4.416154717701208,-4.432964339019369,-4.437382106134626,-4.4019901633522265,-4.351600544956847
ffiv,F5 Networks,2017,1,25,F5 Networks_20170125,-3.0350028148070223,-3.1834705237242664,-3.2985548624144023,-3.406111962853505,-3.4144521830539727,-3.4486783971479023,-3.5060554492612677,-3.5375851871273976,-3.5870457943692657,-3.6281581802110807,-3.671070273759172,-3.7065372557983247,-3.7406961751760672,-3.759520016246527,-3.791624237306588,-3.821791078572692,-3.8412717427892007,-3.8681899523304333,-3.892770411518733,-3.9169854225930383,-3.938631637449813,-3.9606519948880363,-3.972044111851811,-3.969231996822556,-3.986743470135595,-4.00013653875062,-4.003247909208322,-4.019672951040406,-4.034325471493232,-4.265768083523602,-4.384944440904161,-4.5012771552211275,-4.582581353928045,-4.507740753304139,-4.5831352859387575,-4.609133545011148,-4.6665768204572435,-4.71901838989549,-4.764123341126793,-4.807554595755071,-4.819888980146921,-4.842203032632807,-4.876318895313653,-4.9078829042238485,-4.9174127725972845,-4.907338530262256,-4.934295342106287,-4.923601687202262,-4.8792684381408415,-4.900161683497812,-4.881374194558091,-4.897460318589854,-4.904820493008349,-4.887314119011691,-4.8611183328047565,-4.862471385788234,-4.851843083588211,-4.8671603802683645
VAR,Varian Medical Systems,2017,1,25,Varian Medical Systems_20170125,-3.086470223539412,-3.2684203213647227,-3.398109093191384,-3.440220548473357,-3.5310037028990857,-3.576858829616928,-3.6204866188851215,-3.676441952472279,-3.715603855540795,-3.7505272955514433,-3.792299546537516,-3.8318638220084975,-3.8662275500258585,-3.897404665617103,-3.9225704948969127,-3.924769611586821,-3.9527610271012623,-3.9795433801002718,-4.003996123695466,-4.025622668866666,-4.044663277518674,-4.064067274557386,-4.063235130209971,-4.082843050158645,-4.098345550843335,-4.108631174834448,-4.125855949401154,-4.1419490236659335,-4.15680883841693,-6.707413986934261,-6.402930925874603,-5.771161538831472,-5.704577347171298,-5.497096827836676,-5.417825751055628,-5.484468764297366,-5.539740012034574,-5.535835225950088,-5.554137383122183,-5.5686165992425165,-5.547188880932279,-5.122045263826338,-5.065753963918304,-5.07480020489334,-5.089547255391924,-5.050506342901128,-5.046862344226002,-5.02977347759078,-5.051629635567392,-5.074849849942902,-5.072506447545908,-5.093339877127325,-5.111914953277436,-5.116529347459681,-5.034054584897395,-5.022660710190218,-5.036469707083217,-5.028359791504088
ROK,Rockwell Automation Inc.,2017,1,25,Rockwell Automation Inc._20170125,-4.9906612958889935,-5.1768120633336885,-5.318566558162762,-5.269717703790908,-5.252493869648466,-4.766236938162524,-4.815146801084893,-4.872848989761341,-4.919753847415773,-4.815170615506988,-4.811054008594528,-4.839361935002988,-4.874593775551432,-4.906370685082964,-4.937834529877961,-4.968060562862157,-4.996502043331954,-4.995751362179345,-4.974739342250132,-4.997248433918509,-5.019885750457802,-5.041805525619268,-4.75377972194763,-4.7054702701988305,-4.725018901060589,-4.743678891084102,-4.760639740718208,-4.7745657811033135,-4.783799117514086,-4.699647039849823,-4.899211398755541,-4.998462213826372,-5.105699259353305,-4.680542636903606,-4.699064769323189,-4.723233442163108,-4.6462095063376445,-4.67440458898542,-4.713168777937756,-4.751188902657839,-4.782243269289458,-4.798494683748976,-4.532253379201679,-4.551155306050197,-4.579837951316401,-4.567919208992155,-4.593653870537176,-4.619097010730768,-4.642109056048585,-4.664115068831717,-4.683642065901517,-4.702876444349181,-4.690901311903686,-4.708456044593345,-4.6914820443679615,-4.706673240372192,-4.6685171103155145,-4.652023419848253
HES,Hess Corporation,2017,1,25,Hess Corporation_20170125,-4.710106014973449,-4.896875672404941,-4.542582177231866,-4.650011370303427,-4.487516721304012,-4.465382142820731,-4.427311640686537,-4.305976050902701,-4.32850469132425,-4.243375772599514,-4.265379865243102,-4.298266710358232,-4.320877488822297,-4.326724231010304,-4.335849399049805,-4.3305835516033495,-4.263078556416229,-4.238393790909547,-4.202871428206947,-4.2263549853489915,-4.244169532857145,-4.223112367547168,-4.237895280120727,-4.2553851764693285,-4.264106860533218,-4.281639649279087,-4.239682413729966,-4.193776217745143,-4.19184373256918,-4.566457361915519,-4.670182547832597,-4.493727311495289,-4.600807248396777,-4.569038146304744,-4.63259519561633,-4.046493565726934,-4.065057406172829,-4.0478198388685085,-4.059676685713414,-4.101681860049822,-4.130524502890861,-4.157382046576552,-4.163448218916479,-4.1930806773052485,-4.22164890188006,-4.240413159223788,-4.235831846536147,-4.256588019620308,-4.2746094184507415,-4.29160990176957,-4.3113554421977485,-4.296350318357748,-4.316735654684378,-4.336321715119179,-4.282554673888933,-4.169853736995334,-4.1854830070204585,-4.1732697935682745
LRCX,Lam Research,2017,1,25,Lam Research_20170125,-3.5693035212880213,-3.655781777659043,-3.789124225680911,-3.756352664095248,-3.842047333463208,-3.9178068165884072,-3.9802335747046764,-4.038612210882826,-4.0757925505548505,-4.1228901648363125,-4.166355889259571,-4.205058394311782,-4.237966444202566,-4.266967867764731,-4.2690896995518814,-4.296943261658627,-4.230964103131667,-4.2536540425396945,-4.2714211023663236,-4.286942376759668,-4.30884709565307,-4.324727368436969,-4.336786717255692,-4.343251019214605,-4.362824701426127,-4.381587143280949,-4.3915322252980085,-4.408540054523503,-4.425053756395427,-5.047991160144338,-5.204470439630719,-4.825921590069824,-4.7517376734665815,-4.452323201156242,-4.413378430818455,-4.3822942465151655,-4.440251391317446,-4.459426747520094,-4.49312133519692,-4.536304645330231,-4.555352373568034,-4.58565902585686,-4.591131969149816,-4.526942885370711,-4.540644774513906,-4.501767409924804,-4.5208394616946155,-4.546471731472288,-4.556911371648772,-4.570046942130598,-4.5880659205198375,-4.525749370516828,-4.484083989491173,-4.479080664022453,-4.497950827018887,-4.5160993386984964,-4.531600013667506,-4.418723863096457
GWW,Grainger (W.W.) Inc.,2017,1,25,Grainger (W.W.) Inc._20170125,-5.069892110624863,-4.819106856476688,-4.792930920900125,-4.87079538480142,-4.899921264038092,-4.975126572107656,-4.961071727172495,-5.019754929594789,-5.055130134836619,-5.100821601126444,-5.08142968416776,-5.106641954873694,-5.1345387449895075,-5.161413900632612,-5.159660433549736,-5.189962896354462,-5.106907951010292,-5.1213676696438934,-4.733774607053908,-4.757429338593473,-4.7802489112872575,-4.773695683498298,-4.713742256703392,-4.677443054703424,-4.68555826296924,-4.683002792804113,-4.691291041927919,-4.7083044184276375,-4.616875431329959,-4.8372457768149175,-4.997538872286733,-4.974822842151264,-4.857972236814035,-4.857748685771594,-4.907959436966036,-4.9266845196630165,-4.772734783577124,-4.7924858734483315,-4.741349701578616,-4.733036350694615,-4.56029427351047,-4.592379223518003,-4.618542313471873,-4.6181791432494155,-4.638744745951782,-4.550807866855164,-4.577303738247566,-4.590148126932245,-4.612848100174118,-4.630912245157411,-4.643818157357152,-4.652337449015668,-4.671919144418323,-4.686486133027527,-4.6686617592479385,-4.686506674241469,-4.670177221778631,-4.686829262729159
