ticker,name,year,month,day,text_file_name,future_Single_1,future_Single_2,future_Single_3,future_Single_4,future_Single_5,future_Single_6,future_Single_7,future_Single_8,future_Single_9,future_Single_10,future_Single_11,future_Single_12,future_Single_13,future_Single_14,future_Single_15,future_Single_16,future_Single_17,future_Single_18,future_Single_19,future_Single_20,future_Single_21,future_Single_22,future_Single_23,future_Single_24,future_Single_25,future_Single_26,future_Single_27,future_Single_28,future_Single_29,future_Single_30
GLW,Corning Inc.,2017,1,24,Corning Inc._20170124,-3.958141668,-5.324148432,-5.319264024,-6.790575626,-5.115336403,-4.5497428630000005,-5.038100031,-4.322435294,-7.197981877999999,-5.405284502000001,-5.487775752,-4.415808887,-5.590952652,-6.791187006,-3.959129095,-5.424950093,-4.358911184,-6.135272981,-5.845371738,-7.927237281,-5.037628149,-4.434643979,-5.848256951000001,-6.538540737000001,-3.8458116789999996,-4.478756935,0.0,-5.160466034,0.0,-5.624778353
TXN,Texas Instruments,2017,1,24,Texas Instruments_20170124,-3.9393761019999998,-4.749780696,-4.681123769,-6.397269832999999,-3.496769418,-4.639392301,-5.301839297,-4.823573103999999,-5.610275414,-7.552312368,-5.802829804,-4.760839169,-6.287729936,-5.341312587,-6.444680084,-7.83228692,-4.871113816,-5.994724222,-4.782812343,-6.241762611,-6.754477727,-6.64830868,-7.34283382,-4.908364415,-3.913576882,-7.017791259,-5.871843177000001,-5.153402323,-4.571395037,-5.885112519
WRK,WestRock,2017,1,24,WestRock_20170124,-3.538841133,-3.836220097,-4.67008751,-5.884445617000001,-4.900826511,-5.874191101,-4.772763787,-4.383142655,-6.0353159110000005,-5.196620421,-4.633597562,-3.452863825,-5.729181869,-5.4745366970000005,-4.163064619,-5.058864861,-4.741423554,-3.482253135,-3.806848328,-4.432110738,-5.871017712,-6.384507512000001,-5.182372642,-8.588827343,-4.158129388,-4.672641126,-8.595192502,-3.358451927,-3.7232017,-4.846138215
STX,Seagate Technology,2017,1,24,Seagate Technology_20170124,-1.9683269819999998,-3.546485464,-4.292740967,-4.711765703999999,-5.190722634,-4.804219257,-4.5150996,-3.7928435069999997,-3.99744284,-4.231904426,-5.034764022,-4.386398764,-6.244546033,-3.545930162,-6.86258372,-5.072067836,-4.419061577,-4.706166208,-5.090985996000001,-6.38502655,-7.076542785,-4.880073715,-6.679489755,-4.557877648,-3.620506626,-4.481381075,-7.108705419,-4.68947967,-5.351446632,-5.648993634
VZ,Verizon Communications,2017,1,24,Verizon Communications_20170124,-4.964257504,-4.338199997,-4.62824615,-5.373694179,-4.920949756000001,-4.370097239,-6.086433545,-5.080967662,-4.481042571000001,-8.476179562999999,-4.980695713999999,-4.699876153,-5.659931912,-4.735386226,-5.155562545,-5.5375607360000005,-4.84045806,-4.195454757,-5.322762055,-5.327684607,-4.351692009,-5.1560831380000005,-4.339479288,-5.08200001,-5.619337227000001,-5.680212742,-6.118963794,-6.727224366000001,-4.440261532,-5.17371256
FITB,Fifth Third Bancorp,2017,1,24,Fifth Third Bancorp_20170124,-4.452090513,-4.901938692,-4.349735106,-4.13086972,-4.740393686,-5.22806157,-4.471264074,-3.8005122260000004,-4.70501139,-4.596235511000001,-3.7875957939999996,-4.600943909,-4.285490363,-4.747206881,-3.4968858939999996,-7.921080654,-6.535149237000001,-6.131204811,-6.822245892000001,-5.975986548,-6.820722119,-5.210206724,-4.693905592,-5.356954285,-3.041975963,-3.348689264,-5.625431739,-4.530439042,-5.087591133,0.0
DHI,D. R. Horton,2017,1,24,D. R. Horton_20170124,-3.7370198789999995,-7.357879112999999,-4.336804358,-4.901742756,-3.647733511,-5.435068353999999,-4.99992182,-8.002241244,-4.3138103139999995,-6.04333439,-4.136697009,-4.867202225,-3.761867715,-4.344455024,-4.586286292,-3.8356407580000003,-4.53488546,-6.228853456,-4.309004188,-5.733341726,-7.346188912000001,-4.324947279,-3.892769514,-6.973178657,-3.976568685,-5.892227516,-6.700255577999999,-5.448885113999999,-4.2994552960000005,-4.290464264
ffiv,F5 Networks,2017,1,25,F5 Networks_20170125,-2.4944893969999997,-4.296915929,-5.071796451,-5.318485755,-4.373333673,-4.138686104,-4.3245796819999995,-5.71285908,-4.281057794,-6.102566522999999,-5.096139987,-8.158755644,-5.187888624,-5.407021661,-4.24143371,-7.1710227070000006,-7.171790948,-4.434662779,-6.53769431,-5.421917716,-6.5318169820000005,-5.195796238,-6.045921729,-4.371405495,-3.88536346,-5.21791011,-4.536668154,-4.135799175,-5.2955340710000005,-5.0898503139999995
VAR,Varian Medical Systems,2017,1,25,Varian Medical Systems_20170125,-2.7429527310000004,-3.6139304130000003,-6.022511463,-7.8591964160000005,-3.973775761,-5.044179661,-4.198856983,-3.960564705,-6.132004257,-4.610669435,-4.511361452,-5.522461395,-5.85667557,-5.228118718,-5.043416882,-4.606653618999999,-3.8870712530000002,-7.085427534,0.0,-5.138679818,-4.802234007,-5.215882495,-5.428152132,-3.93481054,-5.142014358,-4.57123056,-4.766096114,-6.576678783999999,-4.96586015,-4.818671762
ROK,Rockwell Automation Inc.,2017,1,25,Rockwell Automation Inc._20170125,-7.4386968079999995,-4.255190876,-4.650967073,-4.728414182,-6.466800698999999,-7.2026507010000005,-4.262477023,-6.478489473,-5.608229328999999,-5.255124595,-4.459122094,-4.917679547,-5.600056337000001,-6.633296634,-6.2982676070000005,-6.919003032999999,-8.243047168,-7.431477064,-4.9739683139999995,-4.686060621,-6.128997989,-7.1384669789999995,-6.851544722000001,-3.5408862830000003,-4.158622889,-8.249096211,-6.745298557999999,-5.97315944,-5.63195735,-5.193162465
HES,Hess Corporation,2017,1,25,Hess Corporation_20170125,-5.271420082,-3.7660215519999998,-4.077545304,-5.4150004979999995,-4.392782197,-4.778370976000001,-5.038063803,-3.854947107,-3.472533139,-7.4484643660000005,-4.1908300039999995,-5.618075995,-4.4230403019999995,-6.06915776,-4.002529019,-5.319089193,-4.736193214,-3.878777073,-3.735785685,-3.983571415,-7.468153626,-5.57008265,-3.741271559,-5.454495252999999,-6.247372192,-4.261337861,0.0,-3.5137043439999998,-3.4074765030000003,-4.541828258
LRCX,Lam Research,2017,1,25,Lam Research_20170125,-3.809836186,-3.3755549719999998,-3.9662479239999997,-4.622569086,-3.68593004,-5.441824572000001,-5.631598722000001,-5.481074126,-6.59590877,-4.639968812,-6.792632232000001,-9.358952489,-6.062879249,-5.217850598,-5.261223795,-4.24876457,-5.849893268,-3.67247336,-5.043616257,-4.938136542,-4.710133528,-5.4705505389999995,-5.069280107,-4.653052753,-4.610792629,-6.74087531,-6.432843916,-4.846299583,-5.969788073999999,-6.483183173
GWW,Grainger (W.W.) Inc.,2017,1,25,Grainger (W.W.) Inc._20170125,-4.3613403019999994,-8.542120012,-4.998572735,-4.802784203,-5.427367512000001,-5.059840092,-6.284793057000001,-4.912670394,-8.348623564,-5.505361818,-7.143503452999999,-4.810689933,-5.87001495,-6.066368056,-6.081015816,-5.045463118,-7.373027485,-4.377953442,-5.868201802000001,-3.537186068,-6.725106646,-6.992381565,-4.603065425,-4.090163343,-4.168897578999999,-5.00745403,-4.628949827,-4.988320154,-6.344802581000001,-3.708868742
EBAY,eBay Inc.,2017,1,25,eBay Inc._20170125,-2.996725425,-3.718942549,-4.56035583,-4.549848141,-4.510225905,-5.031983783,-5.767380373,-6.686755263999999,-4.382951244,-3.677540825,-5.544256418,-4.173472604,-5.34800706,-5.352753402,-4.4830070630000005,-4.28167903,-5.026869114,-5.351865162,-5.826606625,-5.035182701,-4.291051348,-5.042271779,-4.50215054,-4.517665117,-4.555923233,-5.29568817,-5.821208273,-5.287671092,-5.40776028,-5.472270674
tel,TE Connectivity Ltd.,2017,1,25,TE Connectivity Ltd._20170125,-5.140778253,-5.783504872999999,-5.737874441000001,-6.715476884,-5.61807587,-6.519543509,-4.450201173,-6.362679684,-5.933648292999999,-4.513225112,-5.159841106,-5.930996195,-5.427575152,-8.235183526,-6.155578879,-5.374988494,-8.232804383,-4.974253501000001,-6.730370734,-4.262806337,-6.714812466000001,-5.0214675280000005,-5.454128742999999,-3.803582648,-4.843290116,-8.927503100000001,-4.01693041,-5.915739317000001,-5.969588752000001,-5.6585013239999995
CMCSA,Comcast Corp.,2017,1,26,Comcast Corp._20170126,-5.1226223939999995,-4.824381872,-6.847880376,-5.983804823,-4.979498836,-6.09050916,-4.649446431,-5.45080892,-6.087728861,-5.392212757999999,-6.4382241570000005,-4.899299551,-5.294473954,-5.005270164,-4.832903671,-4.7310588010000005,-5.098246661,-6.630519257,-4.873901344,-5.055454121,-4.656331947,-5.832352407999999,-5.394122801,-5.59281686,-5.092725607,-5.131003501,-7.534496017,-4.793403776,-4.923216919,-6.434619041
MSFT,Microsoft Corp.,2017,1,26,Microsoft Corp._20170126,-3.750983179,-4.617085427,-4.9103698389999995,-4.101338281,-5.0438620610000005,-4.819166233,-7.372770267000001,-5.713894643,-6.557951332999999,-4.477028316,-6.9733220970000005,-4.487394362,-5.591089534,-7.3864559960000005,-8.771128071,-6.469430445,-6.2087447220000005,-6.206700068,-5.5115504070000005,0.0,-5.110132433,-5.5487474,-4.1993772819999995,-4.246022269,-5.586186457999999,-8.074634773,-6.203251907,-4.692763616000001,-5.5213377470000005,-5.779733625
PYPL,PayPal,2017,1,26,PayPal_20170126,-3.51867963,-4.587205278,-6.211079086,-4.4383923460000005,-4.980810599,-8.283662032999999,-5.575686377,-4.955328315,-3.8402015210000005,-6.7063885039999995,-5.095711511,-4.230914329,-4.516215792,-5.114875156,-5.007525966,-5.401953077999999,-4.491736749,-8.352812252,-5.954889271,-4.366394125,-4.606796053,-4.199080822,-4.581638979,-4.826664879,-5.102917037,-5.594479936,-7.670172373,-6.061239036,-5.796546407999999,-6.418547777000001
CELG,Celgene Corp.,2017,1,26,Celgene Corp._20170126,-3.9771276380000002,-5.553834575,-3.640417111,-4.523769056,-4.1397322139999995,-7.05221715,-5.54899639,-6.526288455,-4.850135736,-4.418667663,-4.637734019,-4.960946508,-5.268032493,-3.5239692739999997,-4.198075273,-3.85997156,-4.254787016,-6.554736908,-6.44210816,-4.575970884,-3.5056855939999996,-4.254092779,-6.477080654,-4.439423446,-4.455325353,-6.783598615,-4.451763548,-4.845499531000001,-4.075347198999999,-4.707137973
CAT,Caterpillar Inc.,2017,1,26,Caterpillar Inc._20170126,-4.005997853,-3.8065596889999997,-4.450330355,-5.158631678,-4.262351226,-5.25421133,-5.427178942,-5.352145129,-5.452218058,-4.482852067,-3.688450651,-3.7836695639999998,-5.481650117999999,-4.658447836000001,-4.86975768,-5.115260074,-4.881287021,-6.888551661,-3.612444654,-7.219079244,-3.885980515,-4.8277135939999996,-3.9188866989999998,-3.151037154,-4.821553013,-5.1713076739999995,-5.870100519,-3.57035563,-3.92531111,-4.598502309
SBUX,Starbucks Corp.,2017,1,26,Starbucks Corp._20170126,-3.218192188,-5.5416342720000005,-4.4092292330000005,-3.733692426,-7.493770541,-3.812619432,-4.408918514,-5.443166174,-7.923957127,-4.5389576289999995,-4.913570796,-6.236536409,-4.782333378,-5.308622014,-6.080748046,-4.516324191,-5.709873611,-7.559285111,-6.712276854,-5.8868170520000005,-4.408115684,-6.447151487999999,-5.350092968999999,-7.957571641,-7.956614106,-4.912310161000001,-4.7714009289999995,-4.8054457,-4.618531335,-4.426298407
BIIB,Biogen Inc.,2017,1,26,Biogen Inc._20170126,-6.016445865,-4.86291119,-5.455109993,-4.1319766819999995,-2.780895123,-6.3977949810000005,-7.005640864,-5.397083862000001,-4.616923999,-5.0631089010000006,-4.136793174,-4.192791161000001,-3.801511066,-3.6380773189999998,-4.758656591,-5.496373757000001,-4.953265066,-5.973829397,-4.603882959,-6.619182779,-3.861185765,-4.745551099,-4.126025433,-6.789762936,-4.2329127710000005,-4.912687366,-4.17188807,-4.57839675,-5.654328212999999,-5.878819365
ADS,Alliance Data Systems,2017,1,26,Alliance Data Systems_20170126,-5.8320484960000005,-3.6412356839999998,-7.039758681,-4.732879516000001,-3.95590381,-4.650346965,-4.92918635,-5.100606657,-5.847361563,-4.361674169,-4.955922122,-5.160440919,-4.971075834,-5.269917781,-5.614902651,-4.1549536289999995,-3.9736227810000004,-6.369938123,-4.5440027910000005,-4.619384701,-4.827538093,-4.176089911,-3.958268491,-4.2089897910000005,-5.868017812000001,-5.698190185,-6.419433636,-5.370467683999999,-4.952198103,-6.822539792000001
SIVB,SVB Financial,2017,1,26,SVB Financial_20170126,-6.566165992999999,-4.200135959,-4.239095784,-5.693554786,-4.5209183369999995,-3.17834489,-4.474029235,-6.684719833,-6.088114578,-3.888638929,-4.511806741,-4.050631682,-3.6007225210000002,-6.609295362999999,-4.939167557,-6.989129172,-4.285921546,-5.202192479,-5.257430981000001,-5.347784978,-3.967904738,-5.361768286,-3.343636603,-3.5780179860000003,-4.65375116,-6.407007924,-5.138169713,-7.383488806,-5.710221024,-6.288888987999999
BEN,Franklin Resources,2017,1,27,Franklin Resources_20170127,-5.593966501000001,-4.53709006,-5.068645864,-6.0965365060000005,-4.577974652,-4.836044985,-7.601058717000001,-4.998486433,-3.983470943,-4.61709399,-4.1726711839999995,-4.2535697830000005,-4.2180819210000005,-4.598646572,-5.17170458,-4.443358437,-5.108955871,-5.527741173,-5.3692264960000005,-4.217158774,-4.878396326,-4.678384213,-4.369198813,-5.319341393999999,-4.957674182,0.0,-5.46145977,-5.716982461000001,-5.580159785,-8.356329069
GD,General Dynamics,2017,1,27,General Dynamics_20170127,-4.239024012,-4.877307568,-8.19440104,-5.5991526689999995,-4.1797366469999995,-7.736089623,-6.981736902000001,-7.8697626089999995,-5.808084557999999,-4.613923675,-4.428624281,-5.691027903999999,-5.506800747000001,-5.524061607,-6.379768967,-5.876900299,-6.448947337999999,-4.782730081,-4.952862206,-5.506436439,-5.7767165060000005,-4.290499172,-4.952123278,-4.916049115,-4.990510568,-5.886918372999999,-5.168585475,-8.467301336,-5.941982532000001,-5.579886619
CVX,Chevron Corp.,2017,1,27,Chevron Corp._20170127,-4.056320274,-5.471933161,-5.762446928999999,-4.518913427,-4.412871883,-5.260042619,-4.263472229,-6.373715037999999,-5.100401688,-4.956541218,-4.878649887,-5.897042933,-7.718840886000001,-4.086994242,-5.75649194,-4.374174502,-4.423322983,-5.150220492,-4.815077077,-4.212984087,-5.003946921,-4.400878551,-5.389082367,-6.391277445,-5.6998275839999994,-4.421396729,-3.9283524460000003,-5.540896401,-5.263000893,-4.474903607
ALGN,Align Technology,2017,1,31,Align Technology_20170131,-2.80281568,-3.8258675980000003,-4.926304491000001,-3.8844372660000004,-6.151150918,-5.193497368,-3.951771929,-4.574192365,-5.020689721,-4.829442878,-4.1378637419999995,-5.381300877,-4.30925791,-7.030616861,-4.884958543,-7.275166584,-4.068584519,-5.09570027,-5.320665791000001,-4.56473783,-5.880626163,-7.171249863,-4.382408837,-5.523790692,-5.198303708,-4.146999103,-7.8762360000000005,-3.674925545,-5.355393935,-3.637030152
MA,Mastercard Inc.,2017,1,31,Mastercard Inc._20170131,-4.381354985,-6.620103352999999,-4.290648153999999,-9.273152243,-9.274023453,-6.78940505,-5.214946762,-8.182309239,-4.665400774,-5.195526208,-4.938710878999999,-5.719029086,-6.8144178879999995,-4.99628836,-5.030431073,-4.433019255,-6.054152082000001,-5.55345436,-6.9128578979999995,-4.089461556,-4.741464036,-5.604112132000001,-5.683826878,-5.62901982,-8.621056327,-6.370026638,-5.5751301710000005,-5.850888207000001,-4.675085857,-4.279658046000001
LLY,Lilly (Eli) & Co.,2017,1,31,Lilly (Eli) & Co._20170131,-4.906283206,-5.912195069,-6.181551456,-4.857636888,-6.394773007,-5.244487922,-5.249750573,-6.760833176,-5.04046889,-4.314531956000001,-4.002398988,-5.945825944,-5.432317721,-7.893245247,-4.728992811,-4.003282553,-5.5527980029999995,-6.0780462360000005,-5.805873541,-4.377340953,-4.49093467,-4.557050871,-7.423614706,-4.342603694,-4.816169707,-4.2927314789999995,-6.098029994,-5.949192382000001,-5.571901547,-4.085630222
NDAQ,"Nasdaq, Inc.",2017,1,31,"Nasdaq, Inc._20170131",-5.816774504,-6.7846975920000006,-5.36664463,-4.764165084,-5.212350476,-4.973298604,-5.746429719,-4.636038086,-4.317777805,-6.784193555,-5.014572992,-6.674306645,-6.039367577999999,-6.235896994,-6.308188049,-5.8267264910000005,0.0,-5.472956227999999,-7.483787044,-4.196580165,-4.351754007,-6.098694201,-5.573235351,-5.111686874,-5.871089791,-5.30866183,-6.384122775,-5.976855233999999,-6.919015457,-5.098030243999999
ABC,AmerisourceBergen Corp,2017,1,31,AmerisourceBergen Corp_20170131,-4.1839461810000005,-5.064054778,-4.27089063,-4.8484439539999995,-5.549447337,-4.804569277,-5.056363027,-5.251927951,-4.883821094,-5.58394026,-5.530490249,-5.211953503,-5.324272647,-5.894521938,-5.6196936310000005,-5.823872328999999,-5.115395041,-5.367511723,-6.032965494,-4.844943627,-5.762143085,-5.758993765,-3.717805758,-4.08759507,-4.99361368,-5.244556586,-5.688215535,-4.667183523,-5.598859029,-4.886983595
AET,Aetna Inc,2017,1,31,Aetna Inc_20170131,-3.677225173,-4.652390658,-4.044543985,-4.237619454,-6.91419425,-5.208558331,-6.918784685,-5.53148457,-5.823135161000001,-3.4800154510000003,-3.867786068,-4.806671301000001,-3.423767549,-4.762817319,-3.9428881889999996,-4.920068296,-5.1399127710000005,-5.572910212000001,-5.220035427,-4.611095119,-5.5027077360000005,-4.69823297,-5.367084607,-5.219956683,-4.758729464,-4.785304218,-9.496697544,-6.603563326000001,-5.302986856,-4.117040467
VLO,Valero Energy,2017,1,31,Valero Energy_20170131,-5.127624851,-7.175953413999999,-6.588652367999999,-5.098499832,-5.284746453,-3.686442703,-4.8220550189999996,-6.110979619,-5.510565615,-4.750015643,-6.180063134,-4.06755466,-4.094343598,-4.430362882,-5.540831439,-4.170004486,-5.376298658,-4.854435195,-4.55075235,-4.853665604,-3.5185078780000003,-5.190731821,-5.212531553,-4.3947518489999995,-3.960731019,-5.144352164,-6.60501559,-4.112068141,-5.728674838,-3.956605658
TPR,"Tapestry, Inc.",2017,1,31,"Tapestry, Inc._20170131",-4.396855422,-3.831022027,-5.124766514,-4.546296589,-4.888233221,-4.13531581,-6.43685718,-4.241328944,-6.4528153989999995,-7.147176758,-6.635736842000001,-5.302216099,-5.022790821,-4.44161678,-7.161413535,-4.039697298,-6.295579845,-4.009182313999999,-4.134148954,-4.843946072,-6.866723013,-4.670503704,-6.635122527,-5.247535528,-3.4270749030000003,-5.169951027,-3.885857643,-4.692123951,-6.474626281,-3.7793336510000004
ILMN,Illumina Inc,2017,1,31,Illumina Inc_20170131,-4.683759457,-4.814975114,-5.394172792000001,-6.082746026000001,-6.199458172999999,-7.300098933999999,-6.8083439320000005,-7.397132784,-5.317135265,-5.576909385,-4.945652195,-4.407397989,-4.35572123,-4.897165678,-6.985580747,-4.834797651000001,-5.071521549,-3.1553132689999996,-5.661665758,-4.783907346,-5.051751864,-5.370758854,-4.533610253,-5.011775248999999,-4.94393331,-7.628008202,-4.094829031000001,-6.290501175,-4.385085993,-4.991590325
PPL,PPL Corp.,2017,2,1,PPL Corp._20170201,-4.662599138,-5.278077987,-5.082551095,-5.394801896000001,-4.953008635,-5.043453773,-6.09307203,-5.0392177910000004,-4.923059464,-8.173670838,-4.996077068,-5.983644851,-4.489472169,-5.356360537,-4.728475438,-4.7690234160000005,-4.95336441,-4.770406119,-5.50478288,-5.810927703,-5.439175845,-5.904765077,-8.210387935,-4.630077285,-8.189444476,-4.822231738999999,-5.632576492999999,-7.507943059,-4.350386675,-5.440730226
WEC,Wec Energy Group Inc,2017,2,1,Wec Energy Group Inc_20170201,-6.349579301,-5.1881057660000005,-5.951413108,-4.943226587,-4.902676732,-5.033704407,-6.2578768479999995,-5.131293715,-4.712298252,-5.1580067739999995,-4.8420778460000005,-6.864863809,-4.687362791,-5.17029605,-4.195155807,-5.642925725,-7.081514567999999,-4.4013549880000005,-5.148642693,-5.653644108,-4.270868286000001,-5.979506907999999,-5.976973629,-4.176746697,-5.376330441,-4.5566536310000005,-4.72669054,-6.740783327000001,-3.940652287,-4.593965717
ADP,Automatic Data Processing,2017,2,1,Automatic Data Processing_20170201,-4.488863296,-5.165490263,-5.489675183999999,-6.284008803,-5.805199852,-4.50273004,-6.353279259,-4.857574091,-4.741671644,-6.160251993999999,-6.071379552000001,-6.213340165,-5.378515377,-4.415018943,-4.410510297,-4.313951339,-5.838743579,-7.157575855,-3.983926728,-5.425989189,-5.489042785,-5.447718486,-5.039163463,-9.247192773,-5.812829604,-4.4988542869999995,-5.887611402999999,-4.791722129,-5.000774853999999,-5.518291279
TSCO,Tractor Supply Company,2017,2,1,Tractor Supply Company_20170201,-3.989129775,-5.144098691,0.0,-6.596764062,-6.190173831,-4.9641864280000005,-4.640336721000001,-4.2212537480000005,-5.71973668,-4.696397033999999,-3.655475058,-3.975381506,-4.58027205,-4.767396026,-4.21923355,-6.0345895579999995,-6.162178795,-5.158810456,-4.251476232,-4.67603054,-5.894239225,-4.776366731,-5.323453482,-4.029707043999999,-4.601058538,-4.892455563,-4.49446049,-7.491860422999999,-4.926961154,-5.3300954130000004
HOLx,Hologic,2017,2,1,Hologic_20170201,-3.387825275,-5.882810285,-5.105433348,-8.277579864,-5.443932807,-3.708478762,-5.352613371,-6.095071842,-3.6994279810000004,-4.6585754,-5.714007811,-4.432079833,-6.096823367000001,-5.405923662999999,-7.202205374,-4.350277037,-5.829444587,-5.826500547999999,-4.197576954,-5.490163087999999,-5.2281819480000005,-6.378618602,-5.278361899,-3.753418907,-5.008719408,-7.249018827,-5.457927591,-6.155328093,-4.52179056,-5.029040711
jci,Johnson Controls International,2017,2,1,Johnson Controls International_20170201,-5.358910138,-4.766429507,-4.774904209,-3.6771344480000003,-5.2332904760000005,-4.9178055480000005,-4.337301243,-6.03679078,-5.078765317,-5.765681477,-6.542063907,-5.199678943,-4.06403716,-4.52907762,-4.127388451,-4.834111603999999,-4.600907952,-4.947370822,-4.037344145,-4.645339827,-5.304718342,-4.943045041,-4.969827984,-4.833616737,-4.856422183,-4.600750957,-8.325243504,-4.769243413,-3.671664953,-5.568551065
